date,contestant_name,instagram_handle,season,cast_list,followers,following,post_count,is_private,full_name,biography,error
2026-08-28,Niyyah Bilal Hayes,niyyahx,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=niyyahx | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fniyyahx%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/niyyahx_selenium.html for inspection
2026-08-28,Shane Beatty,shanebeatty_,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=shanebeatty_ | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fshanebeatty_%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/shanebeatty__selenium.html for inspection
2026-08-28,Sherry Kuehl,snarky.in.the.suburbs,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=snarky.in.the.suburbs | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fsnarky.in.the.suburbs%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/snarky.in.the.suburbs_selenium.html for inspection
2026-08-28,Tomica Adams,ladyofthesky,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=ladyofthesky | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fladyofthesky%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/ladyofthesky_selenium.html for inspection
2026-08-28,Victor Vollbrechthausen,victorvoll,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=victorvoll | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fvictorvoll%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/victorvoll_selenium.html for inspection
2026-08-28,Wyatt Gillespie,wyatt_gillespie,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=wyatt_gillespie | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fwyatt_gillespie%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/wyatt_gillespie_selenium.html for inspection
2026-08-28,Xavier Scruggs,xavierscruggs,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=xavierscruggs | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fxavierscruggs%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/xavierscruggs_selenium.html for inspection
2026-08-29,Abbey Luckett Benjamin,abbeybenj,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=abbeybenj | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fabbeybenj%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/abbeybenj_selenium.html for inspection"
2026-08-29,Abby Lee,abbylee_.7,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=abbylee_.7 | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fabbylee_.7%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/abbylee_.7_selenium.html for inspection"
2026-08-29,Arisa Thomas,arisathegroomer,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=arisathegroomer | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Farisathegroomer%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/arisathegroomer_selenium.html for inspection"
2026-08-29,Ben McDonnell,mcdonnellben,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=mcdonnellben | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fmcdonnellben%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/mcdonnellben_selenium.html for inspection"
